ID,Дата,Год,Месяц_год,Местоположение,Бренд,Товар,Количество,Продажи,Себестоимость,Прибыль,Рентабельность
,2021-02-01,2021,202102,на Гоголя,Galosha,KA air-9558,59,667880,354000.0,313880.0,88.67
,2021-03-01,2021,202103,на Гоголя,Galosha,KA air-9558,48,530688,288000.0,242688.0,84.27
,2021-04-01,2021,202104,на Гоголя,Galosha,KA air-9558,89,1088826,534000.0,554826.0,103.9
,2021-05-01,2021,202105,на Гоголя,Galosha,KA air-9558,113,1314416,678000.0,636416.0,93.87
,2021-06-01,2021,202106,на Гоголя,Galosha,KA air-9558,107,1209421,642000.0,567421.0,88.38
,2021-07-01,2021,202107,на Гоголя,Galosha,KA air-9558,113,1074630,678000.0,396630.0,58.5
,2021-08-01,2021,202108,на Гоголя,Galosha,KA air-9558,95,986385,570000.0,416385.0,73.05
,2021-09-01,2021,202109,на Гоголя,Galosha,KA air-9558,101,1091305,606000.0,485305.0,80.08
,2021-10-01,2021,202110,на Гоголя,Galosha,KA air-9558,83,933501,498000.0,435501.0,87.45
,2021-11-01,2021,202111,на Гоголя,Galosha,KA air-9558,59,645342,354000.0,291342.0,82.3
,2021-12-01,2021,202112,на Гоголя,Galosha,KA air-9558,71,756292,426000.0,330292.0,77.53
,2022-01-01,2022,202201,на Гоголя,Galosha,KA air-9558,104,1202968,624000.0,578968.0,92.78
,2022-02-01,2022,202202,на Гоголя,Galosha,KA air-9558,65,769795,390000.0,379795.0,97.38
,2022-03-01,2022,202203,на Гоголя,Galosha,KA air-9558,52,589160,312000.0,277160.0,88.83
,2022-04-01,2022,202204,на Гоголя,Galosha,KA air-9558,98,1190602,588000.0,602602.0,102.48
,2022-05-01,2022,202205,на Гоголя,Galosha,KA air-9558,124,1464068,744000.0,720068.0,96.78
,2022-06-01,2022,202206,на Гоголя,Galosha,KA air-9558,117,1321866,702000.0,619866.0,88.3
,2022-07-01,2022,202207,на Гоголя,Galosha,KA air-9558,124,1156796,744000.0,412796.0,55.48
,2022-08-01,2022,202208,на Гоголя,Galosha,KA air-9558,104,1094600,624000.0,470600.0,75.42
,2022-09-01,2022,202209,на Гоголя,Galosha,KA air-9558,111,1232100,666000.0,566100.0,85.0
,2022-10-01,2022,202210,на Гоголя,Galosha,KA air-9558,91,996268,546000.0,450268.0,82.47
,2022-11-01,2022,202211,на Гоголя,Galosha,KA air-9558,65,743080,390000.0,353080.0,90.53
,2022-12-01,2022,202212,на Гоголя,Galosha,KA air-9558,78,803010,468000.0,335010.0,71.58
,2021-01-01,2021,202101,на Гоголя,Galosha,KA grou-7567,87,1187463,615960.0,571503.0,92.78
,2021-02-01,2021,202102,на Гоголя,Galosha,KA grou-7567,54,722304,382320.0,339984.0,88.93
,2021-03-01,2021,202103,на Гоголя,Galosha,KA grou-7567,44,576092,311520.0,264572.0,84.93
,2021-04-01,2021,202104,на Гоголя,Galosha,KA grou-7567,81,1167453,573480.0,593973.0,103.57
,2021-05-01,2021,202105,на Гоголя,Galosha,KA grou-7567,103,1427992,729240.0,698752.0,95.82
,2021-06-01,2021,202106,на Гоголя,Galosha,KA grou-7567,98,1297912,693840.0,604072.0,87.06
,2021-07-01,2021,202107,на Гоголя,Galosha,KA grou-7567,103,1210353,729240.0,481113.0,65.97
,2021-08-01,2021,202108,на Гоголя,Galosha,KA grou-7567,87,1091502,615960.0,475542.0,77.2
,2021-09-01,2021,202109,на Гоголя,Galosha,KA grou-7567,92,1159476,651360.0,508116.0,78.01
,2021-10-01,2021,202110,на Гоголя,Galosha,KA grou-7567,76,1035956,538080.0,497876.0,92.53
,2021-11-01,2021,202111,на Гоголя,Galosha,KA grou-7567,54,737262,382320.0,354942.0,92.84
,2021-12-01,2021,202112,на Гоголя,Galosha,KA grou-7567,65,824005,460200.0,363805.0,79.05
,2022-01-01,2022,202201,на Гоголя,Galosha,KA grou-7567,96,1286496,679680.0,606816.0,89.28
,2022-02-01,2022,202202,на Гоголя,Galosha,KA grou-7567,60,809040,424800.0,384240.0,90.45
,2022-03-01,2022,202203,на Гоголя,Galosha,KA grou-7567,48,620928,339840.0,281088.0,82.71
,2022-04-01,2022,202204,на Гоголя,Galosha,KA grou-7567,90,1236510,637200.0,599310.0,94.05
,2022-05-01,2022,202205,на Гоголя,Galosha,KA grou-7567,113,1638274,800040.0,838234.0,104.77
,2022-06-01,2022,202206,на Гоголя,Galosha,KA grou-7567,107,1460015,757560.0,702455.0,92.73
,2022-07-01,2022,202207,на Гоголя,Galosha,KA grou-7567,113,1272267,800040.0,472227.0,59.03
,2022-08-01,2022,202208,на Гоголя,Galosha,KA grou-7567,96,1219488,679680.0,539808.0,79.42
,2022-09-01,2022,202209,на Гоголя,Galosha,KA grou-7567,101,1346027,715080.0,630947.0,88.23
,2022-10-01,2022,202210,на Гоголя,Galosha,KA grou-7567,84,1103004,594720.0,508284.0,85.47
,2022-11-01,2022,202211,на Гоголя,Galosha,KA grou-7567,60,813420,424800.0,388620.0,91.48
,2022-12-01,2022,202212,на Гоголя,Galosha,KA grou-7567,72,869760,509760.0,360000.0,70.62
,2021-01-01,2021,202101,на Гоголя,Galosha,KA gre-2749,87,2274354,913500.0,1360854.0,148.97
,2021-02-01,2021,202102,на Гоголя,Galosha,KA gre-2749,54,1439154,567000.0,872154.0,153.82
,2021-03-01,2021,202103,на Гоголя,Galosha,KA gre-2749,44,1132208,462000.0,670208.0,145.07
,2021-04-01,2021,202104,на Гоголя,Galosha,KA gre-2749,81,2126655,850500.0,1276155.0,150.05
,2021-05-01,2021,202105,на Гоголя,Galosha,KA gre-2749,103,2706428,1081500.0,1624928.0,150.25
,2021-06-01,2021,202106,на Гоголя,Galosha,KA gre-2749,98,2572696,1029000.0,1543696.0,150.02
,2021-07-01,2021,202107,на Гоголя,Galosha,KA gre-2749,103,2591995,1081500.0,1510495.0,139.67
,2021-08-01,2021,202108,на Гоголя,Galosha,KA gre-2749,87,2257824,913500.0,1344324.0,147.16
,2021-09-01,2021,202109,на Гоголя,Galosha,KA gre-2749,92,2358512,966000.0,1392512.0,144.15
,2021-10-01,2021,202110,на Гоголя,Galosha,KA gre-2749,76,1990136,798000.0,1192136.0,149.39
,2021-11-01,2021,202111,на Гоголя,Galosha,KA gre-2749,54,1420740,567000.0,853740.0,150.57
,2021-12-01,2021,202112,на Гоголя,Galosha,KA gre-2749,65,1649505,682500.0,967005.0,141.69
,2022-01-01,2022,202201,на Гоголя,Galosha,KA gre-2749,96,2513664,1008000.0,1505664.0,149.37
,2022-02-01,2022,202202,на Гоголя,Galosha,KA gre-2749,60,1599480,630000.0,969480.0,153.89
,2022-03-01,2022,202203,на Гоголя,Galosha,KA gre-2749,48,1233840,504000.0,729840.0,144.81
,2022-04-01,2022,202204,на Гоголя,Galosha,KA gre-2749,90,2404440,945000.0,1459440.0,154.44
,2022-05-01,2022,202205,на Гоголя,Galosha,KA gre-2749,113,3098347,1186500.0,1911847.0,161.13
,2022-06-01,2022,202206,на Гоголя,Galosha,KA gre-2749,107,2872201,1123500.0,1748701.0,155.65
,2022-07-01,2022,202207,на Гоголя,Galosha,KA gre-2749,113,2780817,1186500.0,1594317.0,134.37
,2022-08-01,2022,202208,на Гоголя,Galosha,KA gre-2749,96,2453952,1008000.0,1445952.0,143.45
,2022-09-01,2022,202209,на Гоголя,Galosha,KA gre-2749,101,2578631,1060500.0,1518131.0,143.15
,2022-10-01,2022,202210,на Гоголя,Galosha,KA gre-2749,84,2220036,882000.0,1338036.0,151.7
,2022-11-01,2022,202211,на Гоголя,Galosha,KA gre-2749,60,1579140,630000.0,949140.0,150.66
,2022-12-01,2022,202212,на Гоголя,Galosha,KA gre-2749,72,1813104,756000.0,1057104.0,139.83
,2021-01-01,2021,202101,на Гоголя,Galosha,KA earth-3018,94,1706100,703120.0,1002980.0,142.65
,2021-02-01,2021,202102,на Гоголя,Galosha,KA earth-3018,59,1066838,441320.0,625518.0,141.74
,2021-03-01,2021,202103,на Гоголя,Galosha,KA earth-3018,47,838997,351560.0,487437.0,138.65
,2021-04-01,2021,202104,на Гоголя,Galosha,KA earth-3018,88,1681768,658240.0,1023528.0,155.49
,2021-05-01,2021,202105,на Гоголя,Galosha,KA earth-3018,112,2118592,837760.0,1280832.0,152.89
,2021-06-01,2021,202106,на Гоголя,Galosha,KA earth-3018,106,1939694,792880.0,1146814.0,144.64
,2021-07-01,2021,202107,на Гоголя,Galosha,KA earth-3018,112,1885072,837760.0,1047312.0,125.01
,2021-08-01,2021,202108,на Гоголя,Galosha,KA earth-3018,94,1713526,703120.0,1010406.0,143.7
,2021-09-01,2021,202109,на Гоголя,Galosha,KA earth-3018,100,1802300,748000.0,1054300.0,140.95
,2021-10-01,2021,202110,на Гоголя,Galosha,KA earth-3018,82,1523724,613360.0,910364.0,148.42
,2021-11-01,2021,202111,на Гоголя,Galosha,KA earth-3018,59,1050495,441320.0,609175.0,138.03
,2021-12-01,2021,202112,на Гоголя,Galosha,KA earth-3018,71,1263161,531080.0,732081.0,137.85
,2022-01-01,2022,202201,на Гоголя,Galosha,KA earth-3018,103,1896333,770440.0,1125893.0,146.14
,2022-02-01,2022,202202,на Гоголя,Galosha,KA earth-3018,65,1197105,486200.0,710905.0,146.22
,2022-03-01,2022,202203,на Гоголя,Galosha,KA earth-3018,52,931372,388960.0,542412.0,139.45
,2022-04-01,2022,202204,на Гоголя,Galosha,KA earth-3018,97,1782957,725560.0,1057397.0,145.74
,2022-05-01,2022,202205,на Гоголя,Galosha,KA earth-3018,123,2273778,920040.0,1353738.0,147.14
,2022-06-01,2022,202206,на Гоголя,Galosha,KA earth-3018,116,2199244,867680.0,1331564.0,153.46
,2022-07-01,2022,202207,на Гоголя,Galosha,KA earth-3018,123,2048934,920040.0,1128894.0,122.7
,2022-08-01,2022,202208,на Гоголя,Galosha,KA earth-3018,103,1844524,770440.0,1074084.0,139.41
,2022-09-01,2022,202209,на Гоголя,Galosha,KA earth-3018,110,1930390,822800.0,1107590.0,134.61
,2022-10-01,2022,202210,на Гоголя,Galosha,KA earth-3018,91,1719172,680680.0,1038492.0,152.57
,2022-11-01,2022,202211,на Гоголя,Galosha,KA earth-3018,65,1204450,486200.0,718250.0,147.73
,2022-12-01,2022,202212,на Гоголя,Galosha,KA earth-3018,78,1371006,583440.0,787566.0,134.99
,2021-01-01,2021,202101,на Гоголя,Galosha,KA ais-3700,73,2288331,1226400.0,1061931.0,86.59
,2021-02-01,2021,202102,на Гоголя,Galosha,KA ais-3700,46,1433728,772800.0,660928.0,85.52
,2021-03-01,2021,202103,на Гоголя,Galosha,KA ais-3700,37,1146963,621600.0,525363.0,84.52
,2021-04-01,2021,202104,на Гоголя,Galosha,KA ais-3700,69,2162943,1159200.0,1003743.0,86.59
,2021-05-01,2021,202105,на Гоголя,Galosha,KA ais-3700,87,2832633,1461600.0,1371033.0,93.8
,2021-06-01,2021,202106,на Гоголя,Galosha,KA ais-3700,82,2544050,1377600.0,1166450.0,84.67
,2021-07-01,2021,202107,на Гоголя,Galosha,KA ais-3700,87,2613567,1461600.0,1151967.0,78.82
