Товар,Продажи,Прибыль,Количество
AS ai-7676,105134429,62202449.0,2621
AS air-7520,114430868,49011668.0,3168
AS ais-7331,149925931,67950331.0,3253
AS earth-9544,75366333,46380733.0,2588
AS gre-2748,123188455,71609095.0,2856
AS grou-3318,84664664,44539544.0,2559
AS ice-2172,58815252,27846692.0,3253
BA ai-2960,26214646,17770846.0,4691
BA air-5353,26793024,16627533.0,5607
BA ais-1740,11950601,7971241.0,4256
BA earth-3530,24867572,15410516.0,4691
BA gre-3658,22623094,15087328.0,5649
BA grou-9248,15984572,10937222.0,4389
BA ice-4231,25618880,15310088.0,5217
GU ai-3849,77123148,38111721.0,7521
GU air-3053,48305776,29919576.0,7994
GU ais-4465,49622619,28239339.0,6988
GU earth-4729,67182156,38077136.0,6988
GU gre-2865,65288459,33392399.0,7994
GU grou-6409,71535037,42848887.0,7083
GU ice-8917,60922636,35659276.0,7310
KA ai-2818,133328056,84818056.0,11025
KA air-9558,125166728,57336728.0,11305
KA ais-3700,275148630,126653430.0,8839
KA earth-3018,205221906,120638066.0,11308
KA gre-2749,272771307,163077807.0,10447
KA grou-7567,137130583,63165823.0,10447
KA ice-7591,135723531,83922081.0,8423
NK ai-2826,69091749,37626249.0,5721
NK air-4421,105248749,56858749.0,8065
NK ais-5028,84539379,48795879.0,7605
NK earth-5320,52727115,29774055.0,6924
NK gre-7983,45188994,27218174.0,5581
NK grou-9880,59329302,28175532.0,5867
NK ice-4908,81767012,38739846.0,8014
RB ai-9349,6978736,4926584.0,2348
RB air-7636,7110988,4384852.0,1803
RB ais-8935,7510214,5385938.0,2299
RB earth-5369,9559991,5016431.0,1803
RB gre-1678,9172246,5700246.0,1984
RB grou-5163,6051360,4333306.0,2197
RB ice-6256,6834262,4810786.0,1853
