country,city,area,population
France,Paris,643801,68605616
Brazil,Rio de Janeiro,8515767,213421037
Japan,Shigaraki Palace,377972,128057352
Germany,Bonn,357587,84358845
Italy,Rome,302068,60599936
Canada,Ottawa,9984670,40000000
Australia,Canberra,8148250,27309396
India,New Delhi,3287263,1477519529
China,Beijing,9596961,1443497378
United States,"Washington, D.C.",9826675,340110988
Russia,Moscow,17125191,147665000
United Kingdom,London,242495,67326569
Mexico,Mexico City,1972550,132274416
South Korea,Seoul,100295,51628117
Spain,Madrid,505990,48592909
